timestamp,open,high,low,close,volume
1700000000000,41983.8795418278,42025.86342136963,41941.89566228598,41983.8795418278,13.368
1700000060000,42016.101354329505,42058.11745568383,41974.08525297517,42016.101354329505,2.376
1700000120000,41957.5157520579,41999.47326780995,41915.55823630584,41957.5157520579,2.102
1700000180000,41944.133262365234,41986.077395627595,41902.189129102866,41944.133262365234,10.641
1700000240000,42009.425637852015,42051.435063489866,41967.416212214164,42009.425637852015,2.327
1700000300000,42025.17996349621,42067.2051434597,41983.154783532715,42025.17996349621,2.724
1700000360000,41920.23900765722,41962.15924666487,41878.31876864956,41920.23900765722,3.352
1700000420000,41974.1150873398,42016.08920242714,41932.14097225246,41974.1150873398,5.242
1700000480000,41867.73639142981,41909.604127821236,41825.86865503838,41867.73639142981,11.965
1700000540000,41758.34255217119,41800.10089472336,41716.58420961902,41758.34255217119,8.537
1700000600000,41777.61348065913,41819.391094139784,41735.835867178466,41777.61348065913,17.311
1700000660000,41774.88868476814,41816.663573452905,41733.11379608337,41774.88868476814,6.503
1700000720000,41794.39873209411,41836.1931308262,41752.60433336201,41794.39873209411,6.861
1700000780000,41819.288601518725,41861.10789012024,41777.46931291721,41819.288601518725,16.506
1700000840000,41854.397503084125,41896.2519005872,41812.54310558104,41854.397503084125,13.139
1700000900000,41929.75450152268,41971.6842560242,41887.82474702116,41929.75450152268,8.076
1700000960000,41908.336796721465,41950.24513351818,41866.42845992474,41908.336796721465,2.132
1700001020000,41901.88120111719,41943.7830823183,41859.97931991607,41901.88120111719,4.913
1700001080000,41874.01134065689,41915.885351997546,41832.13732931623,41874.01134065689,6.969
1700001140000,41814.16749697498,41855.981664471954,41772.353329478006,41814.16749697498,12.126
1700001200000,41763.765713529334,41805.52947924286,41722.00194781581,41763.765713529334,16.093
1700001260000,41779.385198072094,41821.16458327016,41737.60581287402,41779.385198072094,14.281
1700001320000,41782.72260430303,41824.50532690733,41740.93988169873,41782.72260430303,10.979
1700001380000,41864.90277170357,41906.76767447527,41823.03786893187,41864.90277170357,17.628
1700001440000,41858.56357196216,41900.422135534114,41816.70500839019,41858.56357196216,19.623
1700001500000,41807.588373881306,41849.395962255185,41765.78078550743,41807.588373881306,3.243
1700001560000,41716.08882869575,41757.80491752444,41674.37273986705,41716.08882869575,3.888
1700001620000,41768.25346821834,41810.02172168656,41726.48521475012,41768.25346821834,10.29
1700001680000,41858.88616573748,41900.74505190321,41817.02727957174,41858.88616573748,15.527
1700001740000,41882.01990490738,41923.90192481228,41840.13788500247,41882.01990490738,11.887
1700001800000,41921.085498434295,41963.00658393272,41879.16441293586,41921.085498434295,14.211
1700001860000,41883.03126893093,41924.91430019985,41841.148237662,41883.03126893093,12.293
1700001920000,41822.66720939607,41864.48987660546,41780.84454218668,41822.66720939607,16.959
1700001980000,41789.785061820134,41831.57484688195,41747.995276758316,41789.785061820134,18.949
1700002040000,41698.857933290106,41740.55679122339,41657.159075356816,41698.857933290106,2.153
1700002100000,41714.288296540704,41756.00258483724,41672.57400824416,41714.288296540704,14.328
1700002160000,41595.877197317575,41637.47307451489,41554.28132012026,41595.877197317575,16.617
1700002220000,41439.23603093152,41480.67526696245,41397.79679490059,41439.23603093152,6.407
1700002280000,41370.12188447089,41411.49200635536,41328.75176258642,41370.12188447089,1.429
1700002340000,41431.27356825411,41472.70484182236,41389.842294685855,41431.27356825411,9.772
1700002400000,41447.06021597471,41488.50727619068,41405.61315575873,41447.06021597471,2.12
1700002460000,41474.58818636385,41516.062774550206,41433.113598177486,41474.58818636385,15.596
1700002520000,41507.388723692566,41548.89611241625,41465.88133496887,41507.388723692566,8.428
1700002580000,41542.03676158809,41583.57879834967,41500.4947248265,41542.03676158809,17.557
1700002640000,41602.10821349699,41643.71032171048,41560.50610528349,41602.10821349699,11.439
